anime_id;Name;Score;Genres;English name;Japanese name;sypnopsis;Type;Episodes;Aired;Premiered;Producers;Licensors;Studios;Source;Duration;Rating;Ranked;Popularity;Favorites;Watching;Completed;On-Hold;Dropped;Members
1;Cowboy Bebop;878;Action, Adventure, Comedy, Drama, Sci-Fi, Space;Cowboy Bebop;カウボーイビバップ;"In the year 2071, humanity has colonized several of the planets and moons of the solar system leaving the now uninhabitable surface of planet Earth behind. The Inter Solar System Police attempts to keep peace in the galaxy, aided in part by outlaw bounty hunters, referred to as ""Cowboys."" The ragtag team aboard the spaceship Bebop are two such individuals. Mellow and carefree Spike Spiegel is balanced by his boisterous, pragmatic partner Jet Black as the pair makes a living chasing bounties and collecting rewards. Thrown off course by the addition of new members that they meet in their travels—Ein, a genetically engineered, highly intelligent Welsh Corgi; femme fatale Faye Valentine, an enigmatic trickster with memory loss; and the strange computer whiz kid Edward Wong—the crew embarks on thrilling adventures that unravel each member's dark and mysterious past little by little. Well-balanced with high density action and light-hearted comedy, Cowboy Bebop is a space Western classic and an homage to the smooth and improvised music it is named after.";TV;26;Apr 3, 1998 to Apr 24, 1999;1998;Bandai Visual;Funimation, Bandai Entertainment;Sunrise;Original;24 min. per ep.;R - 17+ (violence & profanity);280;39;61971;105808;718161;71513;26678;1251960
6;Trigun;824;Action, Sci-Fi, Adventure, Comedy, Drama, Shounen;Trigun;トライガン;"Vash the Stampede is the man with a $$60,000,000,000 bounty on his head. The reason: he's a merciless villain who lays waste to all those that oppose him and flattens entire cities for fun, garnering him the title ""The Humanoid Typhoon."" He leaves a trail of death and destruction wherever he goes, and anyone can count themselves dead if they so much as make eye contact—or so the rumors say. In actuality, Vash is a huge softie who claims to have never taken a life and avoids violence at all costs. With his crazy doughnut obsession and buffoonish attitude in tow, Vash traverses the wasteland of the planet Gunsmoke, all the while followed by two insurance agents, Meryl Stryfe and Milly Thompson, who attempt to minimize his impact on the public. But soon, their misadventures evolve into life-or-death situations as a group of legendary assassins are summoned to bring about suffering to the trio. Vash's agonizing past will be unraveled and his morality and principles pushed to the breaking point.";TV;26;Apr 1, 1998 to Sep 30, 1998;1998;Victor Entertainment;Funimation, Geneon Entertainment USA;Madhouse;Manga;24 min. per ep.;PG-13 - Teens 13 or older;2660;201;12944;29113;343492;25465;13925;558913
7;Witch Hunter Robin;727;Action, Mystery, Police, Supernatural, Drama, Magic;Witch Hunter Robin;Witch Hunter ROBIN (ウイッチハンターロビン);ches are individuals with special powers like ESP, telekinesis, mind control, etc. Robin, a 15-year-old craft user, arrives from Italy to Japan to work for an organization named STN Japan Division (STN-J) as a replacement for one of STN-J's witch hunters who was recently killed. Unlike other divisions of STN, STN-J tries to capture the witches alive in order to learn why and how they became witches in the first place. (Source: ANN);TV;26;Jul 2, 2002 to Dec 24, 2002;2002;TV Tokyo, Bandai Visual, Dentsu, Victor Entertainment;Funimation, Bandai Entertainment;Sunrise;Original;25 min. per ep.;PG-13 - Teens 13 or older;24810;1467;587;4300;46165;5121;5378;94683
16;Hachimitsu to Clover;806;Comedy, Drama, Josei, Romance, Slice of Life;Honey and Clover;ハチミツとクローバー;Yuuta Takemoto, a sophomore at an arts college, shares a cheap apartment with two seniors—the eccentric Shinobu Morita, who keeps failing to graduate due to his absenteeism, and the sensible Takumi Mayama, who acts as a proper senior to Takemoto, often looking out for him. Takemoto had not given much thought to his future until one fine spring day, when he meets the endearing Hagumi Hanamoto and falls in love at first sight. Incredibly gifted in the arts, Hagumi enrolls in Takemoto's university and soon befriends the popular pottery student Ayumi Yamada. Ayumi is already well acquainted with the three flatmates and secretly harbors deep feelings for one of them. Hachimitsu to Clover is a heartwarming tale of youth, love, soul-searching, and self-discovery, intricately woven through the complex relationships between five dear friends.;TV;24;Apr 15, 2005 to Sep 27, 2005;2005;Genco, Fuji TV, Shueisha;VIZ Media, Discotek Media;J.C.Staff;Manga;23 min. per ep.;PG-13 - Teens 13 or older;4680;687;4101;11909;81145;11901;11026;214499
19;Monster;876;Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller;Monster;モンスター;"Dr. Kenzou Tenma, an elite neurosurgeon recently engaged to his hospital director's daughter, is well on his way to ascending the hospital hierarchy. That is until one night, a seemingly small event changes Dr. Tenma's life forever. While preparing to perform surgery on someone, he gets a call from the hospital director telling him to switch patients and instead perform life-saving brain surgery on a famous performer. His fellow doctors, fiancée, and the hospital director applaud his accomplishment; but because of the switch, a poor immigrant worker is dead, causing Dr. Tenma to have a crisis of conscience. So when a similar situation arises, Dr. Tenma stands his ground and chooses to perform surgery on the young boy Johan Liebert instead of the town's mayor. Unfortunately, this choice leads to serious ramifications for Dr. Tenma—losing his social standing being one of them. However, with the mysterious death of the director and two other doctors, Dr. Tenma's position is restored. With no evidence to convict him, he is released and goes on to attain the position of hospital director. Nine years later when Dr. Tenma saves the life of a criminal, his past comes back to haunt him—once again, he comes face to face with the monster he operated on. He must now embark on a quest of pursuit to make amends for the havoc spread by the one he saved.";TV;74;Apr 7, 2004 to Sep 28, 2005;2004;VAP, Shogakukan-Shueisha Productions, Nippon Television Network;VIZ Media;Madhouse;Manga;24 min. per ep.;R+ - Mild Nudity;300;169;29436;64648;214491;47488;23008;614100
20;Naruto;791;Action, Adventure, Comedy, Super Power, Martial Arts, Shounen;Naruto;ナルト;oments prior to Naruto Uzumaki's birth, a huge demon known as the Kyuubi, the Nine-Tailed Fox, attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the Kyuubi's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. Now, Naruto is a hyperactive and knuckle-headed ninja still living in Konohagakure. Shunned because of the Kyuubi inside him, Naruto struggles to find his place in the village, while his burning desire to become the Hokage of Konohagakure leads him not only to some great new friends, but also some deadly foes.;TV;220;Oct 3, 2002 to Feb 8, 2007;2002;TV Tokyo, Aniplex, Shueisha;VIZ Media;Studio Pierrot;Manga;23 min. per ep.;PG-13 - Teens 13 or older;6600;8;65586;137167;1462223;61734;99806;1830540
22;Tennis no Ouji-sama;79;Action, Comedy, Sports, School, Shounen;The Prince of Tennis;テニスの王子様;The world of tennis is harsh and highly competitive. Numerous schools from Japan battle it out to determine the best of the best. Seishun Gakuen Junior High School, more commonly known as Seigaku, is one of the most prominent contestants in this battle of the finest. Their team line-up gets even stronger with the sudden arrival of a young prodigy from the West, Ryouma Echizen, who is determined to prove himself and escape the towering shadow of his legendary father. This fine addition changes the team forever. Prince of Tennis follows the heartwarming and inspirational story of Ryouma on his quest to become one of the best tennis players the country has ever seen. He pushes himself hard so that he can one day surpass his father’s name and his own personal expectations. Alongside the rest of the Seigaku team, Ryouma fights to make his and his teammate's dreams come true.;TV;178;Oct 10, 2001 to Mar 23, 2005;2001;Production I.G, Nihon Ad Systems;VIZ Media;Trans Arts;Manga;22 min. per ep.;PG-13 - Teens 13 or older;6750;1039;3124;11235;76881;12905;12516;141832
24;School Rumble;794;Comedy, Romance, School, Shounen;School Rumble;スクールランブル;"Just the words ""I love you,"" and everything changes—such is the nature of the bittersweet trials of high school romance. Tenma Tsukamoto, a second year, is on a quest to confess her feelings to the boy she likes. Kenji Harima, a delinquent with a sizable reputation, is in a similar situation, as he cannot properly convey his feelings to the one he loves. Between school, friends, rivalries, and hobbies, these two will find that high school romance is no walk in the park, especially as misunderstandings further complicate their plight. School Rumble is a high-octane romantic comedy full of relatable situations, as Tenma and Kenji both try to win the hearts of those they desire.";TV;26;Oct 5, 2004 to Mar 29, 2005;2004;TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack;Funimation;Studio Comet;Manga;23 min. per ep.;PG-13 - Teens 13 or older;6250;514;5137;12277;157789;12856;13491;275464
25;Sunabouzu;742;Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen;Desert Punk;砂ぼうず;"The Great Kanto Desert, a sweltering wasteland of nothing but ruins and sand, is all that remains of post-apocalyptic Japan. The once fair population has been left to cling to the inhospitable dunes for survival. At least, that is the case for normal people. For those who have spent a little too long in the Kanto sun, the desert offers a wondrous opportunity to make a name for themselves. One such person is the masked handyman ""Sunabouzu,"" or Desert Punk, who has forged a legendary reputation for always finishing his jobs, no matter the nature or cost. Cunning and ruthless, he has become a force of crude destruction to the other desert people. However, the ""Vixen of the Desert,"" Junko Asagiri, discovers that Sunabouzu is not without his weaknesses—he is easily swayed by his insatiable lust for large-breasted desert babes. Following their chaotic adventures through the Kanto Desert, Sunabouzu features a bizarre cast of personalities who entertain themselves with senseless violence and perversion in a world long destroyed by their forefathers. And just like them, they have not learned a damn thing.";TV;24;Oct 6, 2004 to Mar 30, 2005;2004;GDH, Pony Canyon, CBC;Funimation;Gonzo;Manga;24 min. per ep.;R - 17+ (violence & profanity);18440;1284;790;6273;53819;6255;7951;111734
26;Texhnolyze;776;Action, Sci-Fi, Psychological, Drama;Texhnolyze;TEXHNOLYZE;"Texhnolyze takes place in the city of Lux, a man-made underground city that has crumbled after years of neglect and lack of repairs. Citizens of Lux have come to refer to their home as simply ""The City"" and treat it as though it has a mind and will of its own. Three major factions battle to control Lux: Organo, a group of ""professionals"" who collaborate with the criminal underworld that controls Texhnolyze (prosthetics), the Salvation Union, a populist group that seeks to disrupt Organo's business, and Racan, a collection of young individuals with Texhnolyzes that use their abilities for personal gain. Ichise was once an orphan who has made a place for himself in Lux as a prize fighter. One day, a fight promoter grows angry with him and the altercation that follows results in Ichise losing an arm and a leg. Before death can take him, Ichise is found by the scientist Eriko Kamata, who uses him as a test subject for her newly designed Texhnolyze. With these powerful new limbs at his disposal, Ichise begins to work for Oonishi, the leader of Organo. He soon meets a mysterious young girl, Ran, who has the power to see possible futures. Together, they soon realize that Lux is on the brink of war and collapse, and that they may be the only ones who can save The City.";TV;22;Apr 17, 2003 to Sep 25, 2003;2003;Group TAC, Rondo Robe, Fuji TV, Pioneer LDC;Funimation, Geneon Entertainment USA;Madhouse;Original;23 min. per ep.;R+ - Mild Nudity;8960;823;3671;11335;47532;9815;8112;182599
